agent_duration_seconds_missing_rows,agent_seconds_per_success,agent_seconds_per_success_pareto_frontier,agent_seconds_per_success_rank,agent_steps_per_success,agent_steps_per_success_pareto_frontier,agent_steps_per_success_rank,attempts,cache_tokens_per_success,cache_tokens_per_success_pareto_frontier,cache_tokens_per_success_rank,config,harness,input_tokens_per_success,input_tokens_per_success_pareto_frontier,input_tokens_per_success_rank,model,n_agent_steps_missing_rows,n_cache_tokens_missing_rows,n_input_tokens_missing_rows,n_output_tokens_missing_rows,output_tokens_per_success,output_tokens_per_success_pareto_frontier,output_tokens_per_success_rank,pass_rate,provider,reasoning_effort,reported_cpsc_pareto_frontier,reported_cpsc_rank,reported_cpsc_usd,successes,total_tokens_per_success,total_tokens_per_success_pareto_frontier,total_tokens_per_success_rank,trial_duration_seconds_missing_rows,trial_seconds_per_success,trial_seconds_per_success_pareto_frontier,trial_seconds_per_success_rank
0,1070.875704745,False,9.0,110.79,False,18.0,452,6905681.92,False,17.0,mini_swe_agent_gpt_5_6_luna_high,mini-swe-agent,7621799.8,False,17.0,gpt-5-6-luna,0,0,0,0,58258.9,False,12.0,0.4424778761061947,openai,high,True,2.0,1.758055695,200,14585740.62,False,17.0,0,1296.777653095,False,10.0
0,4981.463593428571,False,35.0,804.8571428571429,False,40.0,452,6915730.285714285,False,18.0,mini_swe_agent_gpt_5_6_luna_low,mini-swe-agent,9687750.142857144,False,20.0,gpt-5-6-luna,0,0,0,0,201963.57142857142,False,34.0,0.015486725663716814,openai,low,False,12.0,4.675374314285714,7,16805444.0,False,19.0,0,11161.713321142857,False,40.0
0,1671.3630130598006,False,18.0,151.3388704318937,False,26.0,448,21829795.295681063,False,30.0,mini_swe_agent_gpt_5_6_luna_max,mini-swe-agent,22985999.375415284,False,30.0,gpt-5-6-luna,0,0,0,0,109246.07641196014,False,24.0,0.671875,openai,max,True,11.0,4.506964554817276,301,44925040.74750831,False,30.0,0,1830.4947992325583,False,17.0
0,1608.8120563333334,False,17.0,209.84313725490196,False,29.0,452,4437232.94117647,False,11.0,mini_swe_agent_gpt_5_6_luna_medium,mini-swe-agent,5475647.470588235,False,12.0,gpt-5-6-luna,0,0,0,0,72493.45098039215,False,17.0,0.11283185840707964,openai,medium,False,4.0,1.9170985294117646,51,9985373.862745097,False,11.0,0,2484.178249490196,False,22.0
0,1286.8539728210117,False,12.0,125.04669260700389,False,20.0,452,12480392.46692607,False,25.0,mini_swe_agent_gpt_5_6_luna_xhigh,mini-swe-agent,13385140.256809339,False,25.0,gpt-5-6-luna,0,0,0,0,78577.47470817121,False,18.0,0.5685840707964602,openai,xhigh,True,7.0,2.7007778575875485,257,25944110.19844358,False,25.0,0,1468.5175954630351,False,12.0
0,856.2235155463259,True,6.0,53.153354632587856,True,3.0,451,3508940.4728434505,True,8.0,mini_swe_agent_gpt_5_6_sol_high,mini-swe-agent,3909971.517571885,True,8.0,gpt-5-6-sol,0,0,0,0,40993.91054313099,True,8.0,0.6940133037694013,openai,high,True,13.0,4.99966368370607,313,7459905.900958466,True,8.0,0,1003.9548748530352,True,5.0
0,578.2315094585366,True,1.0,51.50243902439024,False,2.0,452,1322725.7756097561,True,1.0,mini_swe_agent_gpt_5_6_sol_low,mini-swe-agent,1523203.9658536585,True,1.0,gpt-5-6-sol,0,0,0,0,23325.71707317073,True,1.0,0.45353982300884954,openai,low,False,6.0,2.3686265463414635,205,2869255.4585365853,True,1.0,0,793.1996804585365,True,1.0
0,1553.153546327217,True,15.0,84.29357798165138,True,10.0,450,10210231.975535167,True,21.0,mini_swe_agent_gpt_5_6_sol_max,mini-swe-agent,10882090.382262997,True,22.0,gpt-5-6-sol,0,0,0,0,82587.58409785933,True,19.0,0.7266666666666667,openai,max,True,30.0,11.540967449541284,327,21174909.941896025,True,22.0,0,1693.3228807828748,True,15.0
0,693.3537430326087,True,4.0,50.6268115942029,True,1.0,452,2264852.4057971016,True,4.0,mini_swe_agent_gpt_5_6_sol_medium,mini-swe-agent,2466010.3913043477,True,4.0,gpt-5-6-sol,0,0,0,0,30174.630434782608,True,2.0,0.6106194690265486,openai,medium,True,8.0,3.0494144094202897,276,4761037.427536231,True,4.0,0,856.9836737500001,True,2.0
0,1131.8063961755486,True,10.0,62.206896551724135,True,4.0,451,5608926.294670846,True,13.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini-swe-agent,6021794.94984326,True,14.0,gpt-5-6-sol,0,0,0,0,57604.423197492164,True,11.0,0.7073170731707317,openai,xhigh,True,17.0,6.650007526645768,319,11688325.667711599,True,13.0,0,1273.4939845548588,True,9.0
0,677.6019087695473,True,3.0,62.33744855967078,False,5.0,452,2547082.008230453,False,6.0,mini_swe_agent_gpt_5_6_terra_high,mini-swe-agent,2896246.3127572015,False,7.0,gpt-5-6-terra,0,0,0,0,40023.46502057613,False,7.0,0.5376106194690266,openai,high,True,5.0,2.1100332386831275,243,5483351.78600823,False,6.0,0,875.9156798436214,False,3.0
0,733.8869027592592,False,5.0,89.20370370370371,False,13.0,449,1667124.148148148,False,2.0,mini_swe_agent_gpt_5_6_terra_low,mini-swe-agent,1997905.9259259258,False,2.0,gpt-5-6-terra,0,0,0,0,35638.38888888889,False,5.0,0.24053452115812918,openai,low,False,3.0,1.7783113148148149,108,3700668.4629629627,False,2.0,0,1161.1813345277778,False,7.0
0,1460.24872344586,False,13.0,109.05732484076434,False,17.0,451,12427206.929936307,False,24.0,mini_swe_agent_gpt_5_6_terra_max,mini-swe-agent,13257907.01910828,False,24.0,gpt-5-6-terra,0,0,0,0,103325.85987261146,False,23.0,0.6962305986696231,openai,max,False,19.0,7.103748777070064,314,25788439.8089172,False,24.0,0,1611.1709395127389,False,13.0
0,653.9318624746835,False,2.0,71.62025316455696,False,8.0,450,1779368.5063291139,False,3.0,mini_swe_agent_gpt_5_6_terra_medium,mini-swe-agent,2065160.6075949366,False,3.0,gpt-5-6-terra,0,0,0,0,33455.39240506329,False,3.0,0.3511111111111111,openai,medium,True,1.0,1.661153265822785,158,3877984.5063291136,False,3.0,0,957.6257381962026,False,4.0
0,970.6088940661766,False,7.0,71.56617647058823,False,7.0,452,4863408.94117647,False,12.0,mini_swe_agent_gpt_5_6_terra_xhigh,mini-swe-agent,5394678.9375,False,11.0,gpt-5-6-terra,0,0,0,0,65833.36764705883,False,14.0,0.6017699115044248,openai,xhigh,False,9.0,3.534892132352941,272,10323921.24632353,False,12.0,0,1142.6379857095587,False,6.0
0,7087.212842166667,False,38.0,488.40579710144925,False,37.0,452,42113286.927536234,False,37.0,mini_swe_agent_kimi_k2_7_code_default,mini-swe-agent,42606048.91304348,False,35.0,kimi-k2-7-code,0,0,0,0,194219.97101449277,False,33.0,0.3053097345132743,openrouter,,False,25.0,9.221901318550724,138,84913555.8115942,False,35.0,0,7308.577120963769,False,37.0
