a_cheaper_bootstrap_share,a_cheaper_replicates,a_higher_pass_rate_bootstrap_share,a_higher_pass_rate_replicates,bca_acceleration,bca_bias_correction,bca_defined_jackknife_clusters,bca_log_cpsc_ratio_ci_high,bca_log_cpsc_ratio_ci_low,config_a,config_b,defined_pass_rate_replicates,defined_replicates,log_cpsc_ratio_ci_high,log_cpsc_ratio_ci_low,pass_rate_difference_ci_high,pass_rate_difference_ci_low,point_log_cpsc_ratio,probability_a_cheaper,probability_tied,tied_cpsc_replicates
0.0,0,0.9735,9735,0.01744777750356155,0.04538554817940915,113,1.632168580823557,1.3416617064422036,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_sol_medium,10000,10000,1.6201388684194518,1.3307452426652995,0.15552390553628898,-0.0010129875450672037,1.4786301735276237,0.0,0.0,0
0.0,0,0.2726,2726,0.022699972299698026,0.049149695440031456,113,0.8452479447042004,0.5761818319603175,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_sol_xhigh,10000,10000,0.832135806155561,0.5639747047935447,0.04989450711246974,-0.09086258164152783,0.6989617623082436,0.0,0.0,0
0.0,0,0.9996,9996,0.010217887494772131,0.03585246363422352,113,1.9967748191347308,1.7054830918518695,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_terra_high,10000,10000,1.9881416860552337,1.697626383091629,0.22986646116333123,0.06951332638742445,1.846876048507506,0.0,0.0,0
0.0,0,1.0,10000,0.011892507845095499,0.047894904941883386,113,2.2735573465328542,1.746746999074674,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_terra_low,10000,10000,2.256620647200843,1.725808588726452,0.5299842265335731,0.36275784406549233,2.017915534340275,0.0,0.0,0
0.0,0,0.392,3920,0.0016895776207331548,0.016043109130585573,113,0.7474183549525844,0.5184662017049652,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_terra_max,10000,10000,0.7441310463946014,0.5162253560787826,0.06287672692764265,-0.0806907146518964,0.632957107325345,0.0,0.0,0
0.0,0,1.0,10000,0.00873452192940926,0.060697654093910605,113,2.284020498339286,1.8919874670082406,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_terra_medium,10000,10000,2.2692434969712205,1.8768342353185787,0.41968675896079044,0.25388423366752083,2.0860676492049235,0.0,0.0,0
0.0,0,0.9831,9831,0.005432215087640744,0.0152910283343778,113,1.468727174652999,1.1891108449615326,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_terra_xhigh,10000,10000,1.4649164994532067,1.1860101698050782,0.16319350627665866,0.007467843177608546,1.3308969641047006,0.0,0.0,0
0.0012,12,1.0,10000,-7.485423815033493e-05,0.027576405739391723,113,0.572704280463834,0.15342091176518818,mini_swe_agent_claude_fable_5_high,mini_swe_agent_kimi_k2_7_code_default,10000,10000,0.5687355969706321,0.14758412527214637,0.4536437010155585,0.30811577956212916,0.3719985157304971,0.0012,0.0,0
1.0,10000,0.0037,37,0.011854915769050638,0.014789645968119597,113,-1.4363803371772748,-1.7423198761642926,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_fable_5_max,10000,10000,-1.4424465114750784,-1.7484207095250084,-0.03003792437804921,-0.1752146934823864,-1.5932818634016404,1.0,0.0,0
1.0,10000,0.0143,143,0.009166238289008035,0.0077706258524470675,113,-0.2772712519494773,-0.4910846403926157,mini_swe_agent_claude_fable_5_low,mini_swe_agent_claude_fable_5_medium,10000,10000,-0.28011950875083846,-0.4936495261156136,-0.005670557094228108,-0.10994052940188981,-0.38987203953177385,1.0,0.0,0
