a_lower_replicates,a_lower_share,config_a,config_b,defined_replicates,point_ratio_a_over_b,ratio_ci_high,ratio_ci_low,resource_metric
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,0.2578243057889137,0.3006237062883571,0.21853756246020428,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,0.2671094528732256,0.3107617402447886,0.22692332791986042,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,0.2448017472725494,0.29379063660797666,0.20072558807446153,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,0.6289632405643085,0.7247366829152373,0.5403338864596694,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,0.38721800364550424,0.4641034326893891,0.31962713221893463,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,0.4127786099725556,0.4952395217081392,0.34010371494589897,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,0.605380303125939,0.6942880833875851,0.5235678763790069,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,0.5856821993232322,0.6781169437523042,0.501835156867277,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,0.586799453900576,0.6771865997873963,0.5041756022528315,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,0.4002399164741644,0.4796301131140484,0.33021659280495497,total_tokens_per_success
9788,0.9788,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,0.890122622486239,0.9953861485340854,0.793503418833853,agent_steps_per_success
6028,0.6028,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,0.9822010671739796,1.161902877282791,0.8240013053226963,input_tokens_per_success
3118,0.3118,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,1.0512936794397283,1.2465526631474129,0.8800011265985669,cache_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,1.7253100539905046,1.9344528574601978,1.538010546094363,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,0.4867514477660778,0.5473370179083338,0.43129491350224913,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,0.5064870643929622,0.5683821701201985,0.4493824190472458,trial_seconds_per_success
4458,0.4458,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,1.0176337206350805,1.204221818580533,0.8535961186564296,total_tokens_per_success
9592,0.9592,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,0.8233696828480349,1.0257317824197123,0.6345799236376145,agent_steps_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,2.448040005070781,3.1531364201557883,1.8190757827409008,input_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,2.8132429331803133,3.6396336967695904,2.0838170805457623,cache_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,2.386848385210659,2.941170029795455,1.8629564090837694,output_tokens_per_success
9969,0.9969,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,0.7332378068846074,0.9140239488308314,0.5671843183940565,agent_seconds_per_success
9996,0.9996,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,0.6948589934128433,0.8659951289832919,0.5377490922480084,trial_seconds_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,2.614160952660678,3.372511881142713,1.9413140207003197,total_tokens_per_success
4871,0.4871,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_medium,10000,1.0051258464790387,1.1554446334191084,0.8645615912853906,agent_steps_per_success
1,0.0001,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_medium,10000,1.5595558737451167,1.881246621868566,1.271831992925248,input_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_medium,10000,1.6630173101918153,2.0085508436724324,1.353308626875681,cache_tokens_per_success
0,0.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_medium,10000,2.296863458236583,2.634071872683898,1.9830471785567123,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_medium,10000,0.6484780494151897,0.7493281183374179,0.5563115994834797,agent_seconds_per_success
