conditional_failed_spend_usd_ci_high,conditional_failed_spend_usd_ci_low,conditional_successful_spend_usd_ci_high,conditional_successful_spend_usd_ci_low,config,defined_cpsc_rank_replicates,defined_cpsc_replicates,pass_rate_ci_high,pass_rate_ci_low,pass_rate_rank_ci_high,pass_rate_rank_ci_low,rank_displacement_ci_high,rank_displacement_ci_low,realized_cpsc_rank_ci_high,realized_cpsc_rank_ci_low,realized_cpsc_usd_ci_high,realized_cpsc_usd_ci_low,realized_reliability_tax_share_ci_high,realized_reliability_tax_share_ci_low,realized_reliability_tax_usd_ci_high,realized_reliability_tax_usd_ci_low
10.474744523333333,7.734722449838219,18.47235468368243,7.897336195140383,mini_swe_agent_gemini_3_1_pro_preview_high,10000,10000,0.1600089086859687,0.07777777777777778,40.0,39.0,2.0,1.0,41.0,41.0,122.63637049184565,57.46428181905135,0.912377621447949,0.7665783012096369,108.94391470383017,45.84732213106822
8.508234742321779,6.976155535633115,7.528451633245465,5.923655271746624,mini_swe_agent_gemini_3_5_flash_medium,10000,10000,0.43805309734513276,0.31194690265486724,34.0,28.0,7.0,2.0,37.0,34.0,24.370872935899232,16.078879602814382,0.7197140276461085,0.5976065816076549,17.332172451827333,9.720438748146574
3.5044510650873195,2.6155128027418395,2.8153928443398653,2.146171794228406,mini_swe_agent_glm_5_2_high,10000,10000,0.4247787610619469,0.3030973451327434,34.5,29.0,-8.0,-13.0,25.0,17.0,9.912937370726379,6.278615175123412,0.7505490252055229,0.6120146358936873,7.341910798258686,3.8865515224305067
4.369228930705447,3.406285537993634,4.445575033860504,3.551649071529755,mini_swe_agent_glm_5_2_max,10000,10000,0.49889135254988914,0.37723214285714285,30.0,24.0,0.0,-5.0,27.0,22.0,10.712159424417742,7.566314365855309,0.6215147644381864,0.49036053090465753,6.53771871030506,3.7647679405202203
6.150078140497322,4.713243754859306,7.174533233264103,4.874943088088218,mini_swe_agent_gpt_5_4_xhigh,10000,10000,0.588495575221239,0.4469026548672566,26.0,16.0,11.0,3.0,30.0,26.0,13.131342015896525,9.11917749492763,0.5411880687502061,0.3772532216008492,6.672593756169972,3.7133943900964117
5.7142883067186725,4.617904240715627,5.522602791016923,4.645914708150748,mini_swe_agent_gpt_5_5_high,10000,10000,0.7079646017699115,0.5796460176991151,13.0,6.0,15.0,8.0,24.0,19.0,9.020353731262961,7.025662554476984,0.4296547461894399,0.28932202486735137,3.793372633958833,2.084878789721432
1.3357677909336678,1.1397799368368813,1.2128396561059906,1.001183499704419,mini_swe_agent_gpt_5_5_low,10000,10000,0.334070796460177,0.21017699115044247,38.0,34.0,-23.0,-27.0,14.0,10.0,5.838060920744683,3.535258255157271,0.8134507536761785,0.6835119225622371,4.724331776434634,2.426183355051724
3.052202134290765,2.5155893430655394,2.984792904365574,2.4915133733426478,mini_swe_agent_gpt_5_5_medium,10000,10000,0.6106194690265486,0.4690265486725664,24.5,14.0,-2.0,-11.0,15.0,11.0,5.962786965237359,4.408040313915373,0.5359857271336619,0.3924928572330522,3.1586728672758553,1.7543930127458787
7.243153575142857,5.895958151305997,8.619011983013676,6.647809720813106,mini_swe_agent_gpt_5_5_xhigh,10000,10000,0.7367256637168141,0.6017699115044248,11.0,3.0,25.0,17.0,30.0,26.0,12.339664206225873,9.460809286120716,0.3718686474300891,0.23119668200991528,4.3292460056808695,2.3112900951422217
0.891302418291143,0.7113294545094947,0.8369662296345278,0.6752004252112556,mini_swe_agent_gpt_5_6_luna_high,10000,10000,0.5088495575221239,0.37831858407079644,30.0,23.0,-21.0,-28.0,4.0,1.0,2.1108839280767766,1.4838350635403843,0.6462865258214068,0.4960333681192473,1.3471404355963668,0.7485488614430359
0.07545054972769778,0.06963173731592635,0.06910545000000001,0.05409383999999999,mini_swe_agent_gpt_5_6_luna_low,9937,9937,0.030973451327433628,0.0022123893805309734,41.0,41.0,-8.0,-34.0,33.0,7.0,16.709763159999998,2.3248433457142856,0.997942244761252,0.9719700331302281,16.64817928,2.2605227999999995
3.53055663124233,2.439245360157484,3.6498502042142853,2.5802403071788116,mini_swe_agent_gpt_5_6_luna_max,10000,10000,0.7339246119733924,0.609375,12.0,2.0,9.0,-1.0,13.0,10.0,5.333054774204549,3.7951640424165034,0.3971140172935597,0.24292418093643456,1.965556502074322,1.0066365013605205
0.2327625556453804,0.2062073216256787,0.218272355857488,0.16669336571867321,mini_swe_agent_gpt_5_6_luna_medium,10000,10000,0.15486725663716813,0.0752212389380531,40.0,39.0,-33.0,-38.0,7.0,1.0,2.920351752151259,1.3806377140552544,0.936383372540959,0.85686485376999,2.7297186603739494,1.1846988940845071
