agent_seconds_per_success_ci_high,agent_seconds_per_success_ci_low,agent_seconds_per_success_defined_replicates,agent_steps_per_success_ci_high,agent_steps_per_success_ci_low,agent_steps_per_success_defined_replicates,cache_tokens_per_success_ci_high,cache_tokens_per_success_ci_low,cache_tokens_per_success_defined_replicates,config,input_tokens_per_success_ci_high,input_tokens_per_success_ci_low,input_tokens_per_success_defined_replicates,output_tokens_per_success_ci_high,output_tokens_per_success_ci_low,output_tokens_per_success_defined_replicates,total_tokens_per_success_ci_high,total_tokens_per_success_ci_low,total_tokens_per_success_defined_replicates,trial_seconds_per_success_ci_high,trial_seconds_per_success_ci_low,trial_seconds_per_success_defined_replicates
2436.7049304490265,1153.9590838724482,10000,318.973658008658,151.18045343137254,10000,6868765.672727271,3126662.4522875817,10000,mini_swe_agent_gpt_5_6_luna_medium,8453752.550238095,3879491.3707912643,10000,109478.73228609624,52553.208475855135,10000,15428743.644897504,7063236.373939233,10000,3773.885488312853,1780.6471322658442,10000
1517.58982598155,1103.8884248479724,10000,145.3839674109075,108.70849968376947,10000,15298637.790078029,10252440.294506906,10000,mini_swe_agent_gpt_5_6_luna_xhigh,16335290.824437706,11059946.351649081,10000,90335.08702898551,69284.37023762945,10000,31710036.42683031,21389094.020621818,10000,1721.1420104020692,1265.2248691878033,10000
979.1879392121799,754.0109567994258,10000,60.51231471523426,46.86102719033233,10000,4199542.24856338,2909260.8553846152,10000,mini_swe_agent_gpt_5_6_sol_high,4647321.70178546,3271449.853965257,10000,45701.80790584416,37105.77344937122,10000,8890430.01768745,6219229.477477235,10000,1150.0751784596061,882.3254984876589,10000
699.8088126259429,482.480241015235,10000,61.720093922651934,43.6679794490054,10000,1652601.6601245047,1068321.2353254808,10000,mini_swe_agent_gpt_5_6_sol_low,1895362.753383819,1237901.7478365384,10000,27741.148992544666,19928.552572379427,10000,3573047.53411895,2325551.9879849553,10000,964.3008916388094,659.9143404791023,10000
1743.1569803500474,1390.7739036674589,10000,94.96392167269211,75.27211410909477,10000,11965925.771669537,8663789.018093307,10000,mini_swe_agent_gpt_5_6_sol_max,12715725.437786631,9267595.022536745,10000,91443.30037333467,75221.86769340975,10000,24769593.346181545,18010248.820957456,10000,1901.823661651954,1515.8636566639664,10000
811.3159846463168,598.8527878545935,10000,58.56486723867027,44.29310012243861,10000,2748940.3155378485,1870099.873992674,10000,mini_swe_agent_gpt_5_6_sol_medium,2979952.918988569,2046975.978275317,10000,34375.51252204585,26854.283087388423,10000,5762014.927858321,3945146.7832962465,10000,1002.521137419907,741.0178319107615,10000
1287.7635167582227,998.8639903320197,10000,70.21183687714776,55.34231671791552,10000,6571067.358630678,4739474.419210419,10000,mini_swe_agent_gpt_5_6_sol_xhigh,7031000.715103448,5109524.911338774,10000,63993.89353571834,52257.11163365732,10000,13660543.371348938,9904048.945171958,10000,1450.2522002616236,1123.2186593220545,10000
791.9382688740859,586.07064322532,10000,72.35906936468871,54.35112525987526,10000,3076246.2292027874,2126129.376071089,10000,mini_swe_agent_gpt_5_6_terra_high,3479339.68124746,2433391.954296295,10000,45940.092233776486,35356.7630952381,10000,6600736.358393165,4595766.148811388,10000,1024.3456437345353,757.6372957848401,10000
991.338987797462,568.9755822257681,10000,119.86308939873416,70.13430348258707,10000,2285591.5382673545,1268195.490909091,10000,mini_swe_agent_gpt_5_6_terra_low,2731524.6194970533,1528245.4638461538,10000,47528.493063271606,28233.23740601504,10000,5061336.380120481,2824552.7156567993,10000,1572.7845318607872,898.9495417458467,10000
1649.295583252126,1301.6012867805762,10000,122.97483004301736,97.27293554884189,10000,14662533.40066445,10545084.980378658,10000,mini_swe_agent_gpt_5_6_terra_max,15576078.840163628,11300202.562172268,10000,115199.97974693746,93611.00370810533,10000,30359516.671783872,21939314.10878286,10000,1818.7595758035104,1437.5364449621432,10000
